Parcel ID,LUC ,Prior Year Due,Column 1,Column 2,Column 3
P6411105000028,510,5718.97,,,
A0300041000026,510,5714.31,,,
M5620301000015,510,5714.3,,,
G3210010000009,511,5695.98,,,
H4100103000069,401,5681.98,,,
Q6521019000016,500,5681.87,,,
K4610007000106,111,5680.66,,,
C1800013310066,510,5655.07,,,
Q6532038000137,510,5644.99,,,
P6412029000167,510,5640.14,,,
A0700008000141,499,5621.74,,,
Q6542073000020,520,5618.39,,,
P6462015000085,520,5608.92,,,
A0700008000048,511,5606.86,,,
M5620143000019,510,5602.93,,,
Q6521035000075,510,5600.34,,,
M5620225000025,510,5594.27,,,
A0700041000028,447,5593.29,,,
Q6542053000194,510,5578.61,,,
Q6542103000010,510,5577.12,,,
H4000127000042,510,5569.18,,,
Q6542116000017,510,5566.09,,,
M5620153000078,510,5563.66,,,
M5620184000038,510,5561.02,,,
M5620311000029,510,5551.25,,,
R8000029000022,510,5550.46,,,
R8000009000147,510,5546.76,,,
Q6542031000122,510,5544.61,,,
Q6542108000008,510,5540.94,,,
K4620065000051,510,5539.94,,,
J4310021000007,112,5537.64,,,
H4100007000129,510,5535.7,,,
K4610033000050,455,5533.34,,,
Q6542031000248,500,5533.05,,,
D2010022000079,447,5531.25,,,
Q6511035000003,439,5529.39,,,
K4610032000021,511,5519.26,,,
L5210008000013,101,5516.47,,,
Q6521009000050,510,5506.94,,,
P6431035000028,510,5490.96,,,
Q6531077000012,510,5490.94,,,
Q6542033000037,510,5485.35,,,
Q6511032000045,510,5483.66,,,
P6411018000004,510,5482.2,,,
Q6532034000027,510,5481.78,,,
Q6511031000056,510,5477.87,,,
P6411115000009,510,5472.52,,,
C1800008450025,510,5467.35,,,
Q6542046000152,510,5465.56,,,
P6411132000028,510,5461.16,,,
E2210026000043,511,5448.84,,,
P6411060000020,401,5446.74,,,
N6110011000034,112,5439.82,,,
A0700082000011,510,5439.32,,,
L5220037000005,510,5435.1,,,
Q6532027000078,430,5431.97,,,
P6421007000064,480,5418.94,,,
E2210024000031,400,5414.56,,,
Q6531044000034,510,5400.07,,,
P6412039000040,510,5393.01,,,
A0300086000028,510,5378,,,
P6441044000002,429,5373.38,,,
K4620063000118,560,5362.41,,,
Q6541028000058,510,5361.39,,,
R8000009000069,429,5355.38,,,
P6412036000024,510,5351.81,,,
Q6511001000002,350,5345.87,,,
Q6532032000063,510,5333.26,,,
D2020316000030,510,5332.91,,,
E2210021000048,454,5329.4,,,
N5910029000083,101,5327.49,,,
M5620151000041,510,5326.76,,,
Q6532032000072,500,5324.07,,,
Q6531042000004,510,5312.72,,,
A0700074000006,510,5310.06,,,
P6421003000071,456,5307.29,,,
M5620148000063,510,5302.63,,,
F2630049000007,510,5299.84,,,
D2020085000067,510,5288.86,,,
L5300002000118,510,5282.52,,,
C1800003000016,455,5280.47,,,
R8000020000029,510,5277.72,,,
E2220141000011,511,5273.53,,,
J4310005000049,512,5271.33,,,
E2210021000022,511,5271.22,,,
P6461051000043,510,5248.33,,,
M5620108000018,510,5245.49,,,
Q6542068000018,510,5244.91,,,
P6431025000098,510,5244.88,,,
M5620097000036,510,5244.6,,,
Q6532038000079,510,5230.79,,,
G3210011400018,511,5227,,,
A0700082000042,510,5226.96,,,
Q6542030000293,340,5224.04,,,
P6412039000096,510,5221.7,,,
A0700032000034,400,5218.12,,,
M5620051000056,510,5217.83,,,
Q6532021000047,510,5206.35,,,
M5620094000034,510,5201.57,,,
K4630058000062,510,5185.99,,,
K4700037000062,510,5181.39,,,
A0700055000045,510,5181.36,,,
A0300148000073,447,5180.02,,,
Q6521010000041,510,5170.56,,,
A0700017000013,510,5170.54,,,
Q6521015000025,441,5167.74,,,
Q6531051000013,510,5163.98,,,
H4100008000133,510,5162.78,,,
P6412158000069,510,5143.22,,,
E2220064000010,510,5142.2,,,
D2020187000030,510,5136.43,,,
A0700044000116,510,5132.03,,,
F2610025000002,511,5119.05,,,
P6600158000011,510,5118.44,,,
D2020309000013,510,5117.22,,,
Q6511021000085,510,5109.63,,,
N6120040000025,510,5108.47,,,
L4910016000066,511,5107.55,,,
M5620203000010,350,5102.14,,,
A0700124000008,510,5099.56,,,
P6462024000063,510,5092.9,,,
N6110020000015,111,5090.46,,,
L4910016000009,111,5089.25,,,
Q6511031000108,510,5085.12,,,
B1220089000005,510,5073.37,,,
Q6511027000010,370,5071.3,,,
Q6532023000029,510,5065.39,,,
H3610011000004,511,5052.28,,,
M5620134000029,510,5048.93,,,
P6412020000065,510,5039.15,,,
Q6542032000103,510,5037.9,,,
Q6532033000052,510,5029.06,,,
A0700014000159,350,5026.84,,,
Q6541005000042,420,5024.19,,,
Q6532027000006,500,5013.87,,,
Q6521034000028,500,5005.43,,,
P6600153000009,510,5003.21,,,
Q6541002000132,510,4996.61,,,
M5620178000053,510,4993.86,,,
B1210035000001,511,4991.8,,,
M5620176000027,510,4983.93,,,
P6421024000015,510,4980.45,,,
Q6541021000063,510,4979.44,,,
D2020249000090,510,4959.63,,,
P6412015000011,510,4950.58,,,
M5620149000201,550,4949.8,,,
P6461041000024,510,4944.91,,,
M5610002000043,420,4944.3,,,
M5620251000229,510,4942.86,,,
B1010013000053,511,4938.39,,,
C1800013110035,510,4928.32,,,
C1800013310100,510,4923.01,,,
P6411028000024,510,4922.74,,,
Q6542031000093,510,4917.9,,,
K4620061000078,510,4914.76,,,
Q6542068000004,500,4911.08,,,
P6461047000059,510,4908.06,,,
Q6542073000074,510,4907.13,,,
Q6542064000061,510,4903.88,,,
M5630113000069,510,4901.01,,,
A0700144000035,510,4896.98,,,
G3210013300002,511,4895.82,,,
Q6542114000074,510,4878.89,,,
B1010021000053,512,4877.94,,,
Q6541003000137,500,4876.55,,,
M5620251000076,550,4873.28,,,
E2210027000013,511,4866.38,,,
Q6532033000008,510,4863.42,,,
E2210040000028,111,4857.34,,,
K4620064000504,510,4854.03,,,
M5620127000015,447,4850.55,,,
A0700204000042,550,4849.15,,,
Q6532033000040,510,4845.66,,,
N6110026000035,511,4837.74,,,
L4920050000011,510,4822.6,,,
M5620168000177,550,4822.08,,,
P6461039000057,442,4821.84,,,
P6411122000011,510,4818.08,,,
Q6532036000086,510,4815.59,,,
M5620182000012,510,4798.11,,,
E2310009000001,511,4795.9,,,
J4310005000013,511,4793.46,,,
D2020156000039,510,4793.41,,,
A0700127000022,510,4789.98,,,
Q6542058000074,455,4789.26,,,
G3210030300050,511,4785.18,,,
Q6541002000150,510,4783.41,,,
Q6542033000153,510,4781.34,,,
Q6542069000014,510,4780.66,,,
H4100113000034,510,4774.42,,,
M5620107000028,510,4772.95,,,
Q6542053000172,401,4769.02,,,
P6412157000041,510,4760.15,,,
B1020082000009,510,4759.62,,,
Q6532038000108,520,4757.38,,,
Q6521012000016,510,4756.51,,,
M5610028000065,511,4755.37,,,
E2320047000005,511,4753.94,,,
P6431024000027,510,4749.43,,,
F2610017000050,511,4748.92,,,
D2010010000011,511,4744.09,,,
R8000015000008,510,4738.03,,,
Q6542098000117,510,4736.51,,,
M5620439000006,510,4732.53,,,
P6441024000072,510,4730.88,,,
R8000005000035,510,4712.76,,,
M5620451000017,510,4712.12,,,
P6411154000065,510,4712.08,,,
B1020076000003,510,4710.26,,,
N6110020000004,111,4709.24,,,
Q6542039000085,510,4705.8,,,
M5620157000038,510,4704.9,,,
Q6542115000012,510,4704.79,,,
D2020248000079,510,4696.55,,,
Q6532036000083,510,4687.61,,,
C1800005410033,510,4674.91,,,
M5620201000012,510,4670.41,,,
A0300042000115,510,4650.91,,,
E2240130000009,510,4648.92,,,
Q6521012000024,510,4645.99,,,
P6411101000021,510,4629.94,,,
D2020151000047,510,4624.8,,,
A0300036000074,510,4623.36,,,
P6461004000071,510,4620.48,,,
A0300018000015,510,4612.79,,,
P6411036000006,510,4609.13,,,
Q6541005000132,510,4608.48,,,
Q6521007000005,510,4608.09,,,
D2010005000042,511,4598.52,,,
A0700173000024,510,4596.45,,,
H4100103000067,530,4589.7,,,
A0700146000061,510,4589.26,,,
P6412036000077,510,4585.38,,,
A0700127000094,510,4583.62,,,
Q6532034000060,500,4574.11,,,
P6431048000039,510,4573.99,,,
D2020128000005,510,4571.72,,,
P6411051000068,510,4570.12,,,
P6441024000074,510,4565.3,,,
P6600045000028,499,4553.85,,,
